id,title,vote_average,vote_count,status,release_date,revenue,runtime,adult,backdrop_path,budget,homepage,imdb_id,original_language,original_title,overview,popularity,poster_path,tagline,genres,production_companies,production_countries,spoken_languages,keywords,data
72190,World War Z,6.807,14409,Released,2013-06-20,531865000,116,False,/kg2FOT2Oe5PSCgs3L4vLel6B7ck.jpg,200000000,http://www.worldwarzmovie.com,tt0816711,en,World War Z,"Life for former United Nations investigator Gerry Lane and his family seems content. Suddenly, the world is plagued by a mysterious infection turning whole human populations into rampaging mindless zombies. After barely escaping the chaos, Lane is persuaded to go on a mission to investigate this disease. What follows is a perilous trek around the world where Lane must brave horrific dangers and long odds to find answers before human civilization falls.",55.042,/1SWBSYJsnyhdNRfLI1T6RsCxAQ4.jpg,Remember Philly!,"action, drama, horror, science fiction, thriller","GK Films, Paramount, Hemisphere Media Capital, 2DUX², Apparatus Productions, Latina Pictures, Skydance, Plan B Entertainment","Malta, United Kingdom, United States of America",English,"philadelphia, pennsylvania, new jersey, based on novel or book, dystopia, jerusalem, israel, apocalypse, zombie, epidemic, nuclear weapons, multiple perspectives, zombie apocalypse, virus","Titulo: World War Z, Estado: Released, Sinopsis: Life for former United Nations investigator Gerry Lane and his family seems content. Suddenly, the world is plagued by a mysterious infection turning whole human populations into rampaging mindless zombies. After barely escaping the chaos, Lane is persuaded to go on a mission to investigate this disease. What follows is a perilous trek around the world where Lane must brave horrific dangers and long odds to find answers before human civilization falls., Generos: action, drama, horror, science fiction, thriller, Empresas_productoras: GK Films, Paramount, Hemisphere Media Capital, 2DUX², Apparatus Productions, Latina Pictures, Skydance, Plan B Entertainment, Idiomas_hablados: English, palabras_clave: philadelphia, pennsylvania, new jersey, based on novel or book, dystopia, jerusalem, israel, apocalypse, zombie, epidemic, nuclear weapons, multiple perspectives, zombie apocalypse, virus"
345940,The Meg,6.256,7018,Released,2018-08-09,530517320,113,False,/6bAjogOzrB9xbmIaY3BRpZZgn5Q.jpg,150000000,https://www.warnerbros.com/movies/meg,tt4779682,en,The Meg,"A deep sea submersible pilot revisits his past fears in the Mariana Trench, and accidentally unleashes the seventy foot ancestor of the Great White Shark believed to be extinct.",101.431,/eyWICPcxOuTcDDDbTMOZawoOn8d.jpg,Pleased to eat you,"action, science fiction, horror","Apelles Entertainment, Gravity Pictures, di Bonaventura Pictures, Flagship Entertainment Group, Maeday Productions, Warner Bros. Pictures","China, United States of America","Mandarin, English, Japanese, Thai","beach, based on novel or book, ocean, deep sea, creature, underwater, shark, oceanic expedition, kaiju, submersible, extinct, underwater facility, mariana trench","Titulo: The Meg, Estado: Released, Sinopsis: A deep sea submersible pilot revisits his past fears in the Mariana Trench, and accidentally unleashes the seventy foot ancestor of the Great White Shark believed to be extinct., Generos: action, science fiction, horror, Empresas_productoras: Apelles Entertainment, Gravity Pictures, di Bonaventura Pictures, Flagship Entertainment Group, Maeday Productions, Warner Bros. Pictures, Idiomas_hablados: Mandarin, English, Japanese, Thai, palabras_clave: beach, based on novel or book, ocean, deep sea, creature, underwater, shark, oceanic expedition, kaiju, submersible, extinct, underwater facility, mariana trench"
1576,Resident Evil,6.61,5803,Released,2002-03-15,102984862,100,False,/l5KvxFVOru3Qyf3dl2asNw5g1MD.jpg,33000000,https://www.sonypictures.com/movies/residentevil,tt0120804,en,Resident Evil,"When a virus leaks from a top-secret facility, turning all resident researchers into ravenous zombies and their lab animals into mutated hounds from hell, the government sends in an elite military task force to contain the outbreak.",22.662,/1UKNef590A0ZaMnxsscIcWuK1Em.jpg,A secret experiment. A deadly virus. A fatal mistake.,"horror, action, science fiction","Impact Pictures, Davis Films, New Legacy Film, Constantin Film, FFA, Filmboard Berlin-Brandenburg (FBB), FFF Bayern","Canada, France, Germany, United Kingdom",English,"biological weapon, quarantine, amnesia, undercover, dystopia, mutant, hologram, flashback, conspiracy, zombie, special forces, based on video game","Titulo: Resident Evil, Estado: Released, Sinopsis: When a virus leaks from a top-secret facility, turning all resident researchers into ravenous zombies and their lab animals into mutated hounds from hell, the government sends in an elite military task force to contain the outbreak., Generos: horror, action, science fiction, Empresas_productoras: Impact Pictures, Davis Films, New Legacy Film, Constantin Film, FFA, Filmboard Berlin-Brandenburg (FBB), FFF Bayern, Idiomas_hablados: English, palabras_clave: biological weapon, quarantine, amnesia, undercover, dystopia, mutant, hologram, flashback, conspiracy, zombie, special forces, based on video game"
8077,Alien³,6.4,5066,Released,1992-05-22,159773545,114,False,/nEmOmbCWBXS3tHU2N49z693KDK.jpg,50000000,https://www.20thcenturystudios.com/movies/alien-3,tt0103644,en,Alien³,"After escaping with Newt and Hicks from the alien planet, Ripley crash lands on Fiorina 161, a prison planet and host to a correctional facility. Unfortunately, although Newt and Hicks do not survive the crash, a more unwelcome visitor does. The prison does not allow weapons of any kind, and with aid being a long time away, the prisoners must simply survive in any way they can.",28.981,/xh5wI0UoW7DfS1IyLy3d2CgrCEP.jpg,The bitch is back.,"science fiction, action, horror","Brandywine Productions, 20th Century Fox","United Kingdom, United States of America",English,"prison, android, spacecraft, dystopia, imprisonment, space travel, space colony, redemption, rottweiler, sequel, alien, space, creature, planet, shaved head, crash landing, impregnation, penal colony, furnace, suspended animation, xenomorph","Titulo: Alien³, Estado: Released, Sinopsis: After escaping with Newt and Hicks from the alien planet, Ripley crash lands on Fiorina 161, a prison planet and host to a correctional facility. Unfortunately, although Newt and Hicks do not survive the crash, a more unwelcome visitor does. The prison does not allow weapons of any kind, and with aid being a long time away, the prisoners must simply survive in any way they can., Generos: science fiction, action, horror, Empresas_productoras: Brandywine Productions, 20th Century Fox, Idiomas_hablados: English, palabras_clave: prison, android, spacecraft, dystopia, imprisonment, space travel, space colony, redemption, rottweiler, sequel, alien, space, creature, planet, shaved head, crash landing, impregnation, penal colony, furnace, suspended animation, xenomorph"
8078,Alien Resurrection,6.131,4378,Released,1997-11-12,162000000,109,False,/ikr0UILfvRerzMNoBTtJtyuWAEV.jpg,70000000,https://www.20thcenturystudios.com/movies/alien-resurrection,tt0118583,en,Alien Resurrection,"Two hundred years after Lt. Ripley died, a group of scientists clone her, hoping to breed the ultimate weapon. But the new Ripley is full of surprises … as are the new aliens. Ripley must team with a band of smugglers to keep the creatures from reaching Earth.",31.359,/9aRDMlU5Zwpysilm0WCWzU2PCFv.jpg,It's already too late.,"science fiction, horror, action","Brandywine Productions, 20th Century Fox",United States of America,English,"android, smuggling (contraband), dystopia, mercenary, sequel, alien, betrayal, cloning, creature, scientist, flamethrower, gene manipulation, man in wheelchair, breeding, genetic engineering, regeneration, xenomorph, alien queen, explosive decompression","Titulo: Alien Resurrection, Estado: Released, Sinopsis: Two hundred years after Lt. Ripley died, a group of scientists clone her, hoping to breed the ultimate weapon. But the new Ripley is full of surprises … as are the new aliens. Ripley must team with a band of smugglers to keep the creatures from reaching Earth., Generos: science fiction, horror, action, Empresas_productoras: Brandywine Productions, 20th Century Fox, Idiomas_hablados: English, palabras_clave: android, smuggling (contraband), dystopia, mercenary, sequel, alien, betrayal, cloning, creature, scientist, flamethrower, gene manipulation, man in wheelchair, breeding, genetic engineering, regeneration, xenomorph, alien queen, explosive decompression"
395,AVP: Alien vs. Predator,5.9,3999,Released,2004-08-12,177427090,101,False,/tOvoWzkUzCMJ8Ra5nkmNg7ehCET.jpg,70000000,https://www.20thcenturystudios.com/movies/alien-vs-predator,tt0370263,en,AVP: Alien vs. Predator,"When scientists discover something in the Arctic that appears to be a buried Pyramid, they send a research team out to investigate. Little do they know that they are about to step into a hunting ground where Aliens are grown as sport for the Predator race.",29.36,/ySWu5bCnnmgV1cVacvFnFIhgOjp.jpg,Whoever wins... We lose,"adventure, science fiction, action, horror","Revolution Sun Studios, Impact Pictures, Studio Babelsberg, Davis Entertainment, Stillking Films, Brandywine Productions, Lonlink Productions, Kut Productions, Inside Track Films, Charenton Productions Limited, 20th Century Fox","Czech Republic, Germany, United Kingdom, United States of America","Italian, English","space marine, saving the world, predator, praise, pyramid, alien, creature, cosmos, xenomorph","Titulo: AVP: Alien vs. Predator, Estado: Released, Sinopsis: When scientists discover something in the Arctic that appears to be a buried Pyramid, they send a research team out to investigate. Little do they know that they are about to step into a hunting ground where Aliens are grown as sport for the Predator race., Generos: adventure, science fiction, action, horror, Empresas_productoras: Revolution Sun Studios, Impact Pictures, Studio Babelsberg, Davis Entertainment, Stillking Films, Brandywine Productions, Lonlink Productions, Kut Productions, Inside Track Films, Charenton Productions Limited, 20th Century Fox, Idiomas_hablados: Italian, English, palabras_clave: space marine, saving the world, predator, praise, pyramid, alien, creature, cosmos, xenomorph"
1577,Resident Evil: Apocalypse,6.341,3954,Released,2004-09-10,129394835,94,False,/4ITBvAeS4VmRincBEAtgbu241rh.jpg,45000000,,tt0318627,en,Resident Evil: Apocalypse,"As the city is locked down under quarantine, Alice finds out that the people that died from the previous incident at the Umbrella Corporation have turned into zombies. She then joins a small band of elite soldiers, who are enlisted to rescue the missing daughter of the creator of the mutating T-virus.  Once lack of luck and resources happen, they begin to wage an exhilarating battle to survive and escape before the Umbrella Corporation erases its experiment from the face of the earth.",23.717,/way9dOm4dM2sm9UMcu2PEXMTX0q.jpg,The evil continues...,"horror, action, science fiction","Davis Films/Impact Pictures, Screen Gems, Constantin Film","Canada, United Kingdom, United States of America",English,"rescue, martial arts, dystopia, mutant, conspiracy, evil corporation, zombie, based on video game","Titulo: Resident Evil: Apocalypse, Estado: Released, Sinopsis: As the city is locked down under quarantine, Alice finds out that the people that died from the previous incident at the Umbrella Corporation have turned into zombies. She then joins a small band of elite soldiers, who are enlisted to rescue the missing daughter of the creator of the mutating T-virus.  Once lack of luck and resources happen, they begin to wage an exhilarating battle to survive and escape before the Umbrella Corporation erases its experiment from the face of the earth., Generos: horror, action, science fiction, Empresas_productoras: Davis Films/Impact Pictures, Screen Gems, Constantin Film, Idiomas_hablados: English, palabras_clave: rescue, martial arts, dystopia, mutant, conspiracy, evil corporation, zombie, based on video game"
7737,Resident Evil: Extinction,6.286,3792,Released,2007-09-20,148412065,94,False,/u8QUvrq24pWB2x1DxCy4ulbKJG5.jpg,45000000,https://www.sonypictures.com/movies/residentevilextinction,tt0432021,en,Resident Evil: Extinction,"Years after the Racoon City catastrophe, survivors travel across the Nevada desert, hoping to make it to Alaska. Alice joins the caravan and their fight against hordes of zombies and the evil Umbrella Corp.",10.493,/6yaLr7Ymg5cvbtSVi5hHwBKx35I.jpg,All bets are off,"horror, action, science fiction","Screen Gems, Impact Pictures, Davis Films, Constantin Film","Canada, France, Germany, United States of America",English,"clone, dystopia, mutant, post-apocalyptic future, conspiracy, evil corporation, zombie, based on video game","Titulo: Resident Evil: Extinction, Estado: Released, Sinopsis: Years after the Racoon City catastrophe, survivors travel across the Nevada desert, hoping to make it to Alaska. Alice joins the caravan and their fight against hordes of zombies and the evil Umbrella Corp., Generos: horror, action, science fiction, Empresas_productoras: Screen Gems, Impact Pictures, Davis Films, Constantin Film, Idiomas_hablados: English, palabras_clave: clone, dystopia, mutant, post-apocalyptic future, conspiracy, evil corporation, zombie, based on video game"
71679,Resident Evil: Retribution,5.802,3669,Released,2012-09-12,240159255,95,False,/fxLktTZcpt8O7JtmlVY6YSfOtOS.jpg,65000000,http://www.residentevil-movie.com/site/,tt1855325,en,Resident Evil: Retribution,"The Umbrella Corporation’s deadly T-virus continues to ravage the Earth, transforming the global population into legions of the flesh eating Undead. The human race’s last and only hope, Alice, awakens in the heart of Umbrella’s most clandestine operations facility and unveils more of her mysterious past as she delves further into the complex. Without a safe haven, Alice continues to hunt those responsible for the outbreak; a chase that takes her from Tokyo to New York, Washington, D.C. and Moscow, culminating in a mind-blowing revelation that will force her to rethink everything that she once thought to be true. Aided by new found allies and familiar friends, Alice must fight to survive long enough to escape a hostile world on the brink of oblivion. The countdown has begun.",4.209,/ohdUDWVlcbuWphaLu6wS91xdJ73.jpg,Evil goes global,"action, horror, science fiction","Davis Films/Impact Pictures, Constantin Film, Screen Gems","Canada, Germany, United States of America",English,"dystopia, mutant, sequel, conspiracy, tokyo, japan, zombie, based on video game, moscow, russia, hand to hand combat, virus, plague, pandemic","Titulo: Resident Evil: Retribution, Estado: Released, Sinopsis: The Umbrella Corporation’s deadly T-virus continues to ravage the Earth, transforming the global population into legions of the flesh eating Undead. The human race’s last and only hope, Alice, awakens in the heart of Umbrella’s most clandestine operations facility and unveils more of her mysterious past as she delves further into the complex. Without a safe haven, Alice continues to hunt those responsible for the outbreak; a chase that takes her from Tokyo to New York, Washington, D.C. and Moscow, culminating in a mind-blowing revelation that will force her to rethink everything that she once thought to be true. Aided by new found allies and familiar friends, Alice must fight to survive long enough to escape a hostile world on the brink of oblivion. The countdown has begun., Generos: action, horror, science fiction, Empresas_productoras: Davis Films/Impact Pictures, Constantin Film, Screen Gems, Idiomas_hablados: English, palabras_clave: dystopia, mutant, sequel, conspiracy, tokyo, japan, zombie, based on video game, moscow, russia, hand to hand combat, virus, plague, pandemic"
503736,Army of the Dead,6.247,3638,Released,2021-05-14,190700000,148,False,/c0izdYdnTe4uMRifHgvTA85wPz0.jpg,90000000,https://www.netflix.com/title/81046394,tt0993840,en,Army of the Dead,"Following a zombie outbreak in Las Vegas, a group of mercenaries take the ultimate gamble: venturing into the quarantine zone to pull off the greatest heist ever attempted.",32.495,/z8CExJekGrEThbpMXAmCFvvgoJR.jpg,Survivors take all.,"action, crime, drama, horror, science fiction, thriller, fantasy",The Stone Quarry,United States of America,"English, German, Spanish","casino, tiger, vault, mercenary, safe, heist, zombie animals, apocalypse, zombie, las vegas, widower, safecracker, booby trap, casino owner, walled city, zombie apocalypse, father daughter conflict, father daughter relationship, casino heist","Titulo: Army of the Dead, Estado: Released, Sinopsis: Following a zombie outbreak in Las Vegas, a group of mercenaries take the ultimate gamble: venturing into the quarantine zone to pull off the greatest heist ever attempted., Generos: action, crime, drama, horror, science fiction, thriller, fantasy, Empresas_productoras: The Stone Quarry, Idiomas_hablados: English, German, Spanish, palabras_clave: casino, tiger, vault, mercenary, safe, heist, zombie animals, apocalypse, zombie, las vegas, widower, safecracker, booby trap, casino owner, walled city, zombie apocalypse, father daughter conflict, father daughter relationship, casino heist"
