year_film,year_ceremony,number_ceremony,category,actor_name,film,winner
1927,1928,1,ACTOR,Richard Barthelmess,The Noose,f
1927,1928,1,ACTOR,Emil Jannings,The Last Command,t
1927,1928,1,ACTRESS,Louise Dresser,A Ship Comes In,f
1927,1928,1,ACTRESS,Janet Gaynor,7th Heaven,t
1927,1928,1,ACTRESS,Gloria Swanson,Sadie Thompson,f
1927,1928,1,ART DIRECTION,Rochus Gliese,Sunrise,f
1927,1928,1,ART DIRECTION,William Cameron Menzies,The Dove;,t
1927,1928,1,ART DIRECTION,Harry Oliver,7th Heaven,f
1927,1928,1,CINEMATOGRAPHY,George Barnes,The Devil Dancer;,f
1927,1928,1,CINEMATOGRAPHY,Charles Rosher,Sunrise,t
1927,1928,1,CINEMATOGRAPHY,Karl Struss,Sunrise,t
1927,1928,1,DIRECTING (Comedy Picture),Lewis Milestone,Two Arabian Knights,t
1927,1928,1,DIRECTING (Comedy Picture),Ted Wilde,Speedy,f
1927,1928,1,DIRECTING (Dramatic Picture),Frank Borzage,7th Heaven,t
1927,1928,1,DIRECTING (Dramatic Picture),Herbert Brenon,Sorrell and Son,f
1927,1928,1,DIRECTING (Dramatic Picture),King Vidor,The Crowd,f
1927,1928,1,ENGINEERING EFFECTS,Ralph Hammeras,,f
1927,1928,1,ENGINEERING EFFECTS,Roy Pomeroy,Wings,t
1927,1928,1,ENGINEERING EFFECTS,Nugent Slaughter,,f
1927,1928,1,OUTSTANDING PICTURE,The Caddo Company,The Racket,f
1927,1928,1,OUTSTANDING PICTURE,Fox,7th Heaven,f
1927,1928,1,OUTSTANDING PICTURE,Paramount Famous Lasky,Wings,t
1927,1928,1,UNIQUE AND ARTISTIC PICTURE,Fox,Sunrise,t
1927,1928,1,UNIQUE AND ARTISTIC PICTURE,Metro-Goldwyn-Mayer,The Crowd,f
1927,1928,1,UNIQUE AND ARTISTIC PICTURE,Paramount Famous Lasky,Chang,f
1927,1928,1,WRITING (Adaptation),Alfred Cohn,The Jazz Singer,f
1927,1928,1,WRITING (Adaptation),Anthony Coldeway,Glorious Betsy,f
1927,1928,1,WRITING (Adaptation),Benjamin Glazer,7th Heaven,t
1927,1928,1,WRITING (Original Story),Lajos Biro,The Last Command,f
1927,1928,1,WRITING (Original Story),Ben Hecht,Underworld,t
1927,1928,1,WRITING (Title Writing),Gerald Duffy,The Private Life of Helen of Troy,f
1927,1928,1,WRITING (Title Writing),Joseph Farnham,,t
1927,1928,1,WRITING (Title Writing),"George Marion, Jr.",,f
1927,1928,1,SPECIAL AWARD, Warner Bros.,,t
1927,1928,1,SPECIAL AWARD, Charles Chaplin,,t
1928,1929,2,ACTOR,George Bancroft,Thunderbolt,f
1928,1929,2,ACTOR,Warner Baxter,In Old Arizona,t
1928,1929,2,ACTOR,Chester Morris,Alibi,f
1928,1929,2,ACTOR,Paul Muni,The Valiant,f
1928,1929,2,ACTOR,Lewis Stone,The Patriot,f
1928,1929,2,ACTRESS,Ruth Chatterton,Madame X,f
1928,1929,2,ACTRESS,Betty Compson,The Barker,f
1928,1929,2,ACTRESS,Jeanne Eagels,The Letter,f
1928,1929,2,ACTRESS,Corinne Griffith,The Divine Lady,f
1928,1929,2,ACTRESS,Bessie Love,The Broadway Melody,f
1928,1929,2,ACTRESS,Mary Pickford,Coquette,t
1928,1929,2,ART DIRECTION,Hans Dreier,The Patriot,f
1928,1929,2,ART DIRECTION,Cedric Gibbons,The Bridge of San Luis Rey,t
1928,1929,2,ART DIRECTION,Mitchell Leisen,Dynamite,f
1928,1929,2,ART DIRECTION,William Cameron Menzies,Alibi;,f
1928,1929,2,ART DIRECTION,Harry Oliver,Street Angel,f
